eta_ratio, gamma_factor,iterations,eta_max,eta_min
0.100000,0.010000,5368,1.1119855105175500,0.05800375717848620
0.100000,0.020000,5464,1.1119855105175500,0.05800375717848620
0.100000,0.050000,5001,1.1119855105175500,0.05800375717848620
0.100000,0.100000,4552,1.1119855105175500,0.05800375717848620
0.100000,0.200000,4133,1.1119855105175500,0.05800375717848620
0.100000,0.500000,3392,1.1119855105175500,0.05800375717848620
0.100000,1.000000,2927,1.1119855105175500,0.05800375717848620
0.100000,2.000000,2431,1.1119855105175500,0.05800375717848620
0.100000,5.000000,2075,1.1119855105175500,0.05800375717848620
0.100000,10.000000,2264,1.1119855105175500,0.05800375717848620
1.000000,0.010000,4157,1.0188038094952100,0.5314318237022040
1.000000,0.020000,4554,1.0188038094952100,0.5314318237022040
1.000000,0.050000,4687,1.0188038094952100,0.5314318237022040
1.000000,0.100000,4965,1.0188038094952100,0.5314318237022040
1.000000,0.200000,4750,1.0188038094952100,0.5314318237022040
1.000000,0.500000,4314,1.0188038094952100,0.5314318237022040
1.000000,1.000000,3172,1.0188038094952100,0.5314318237022040
1.000000,2.000000,2370,1.0188038094952100,0.5314318237022040
1.000000,5.000000,2018,1.0188038094952100,0.5314318237022040
1.000000,10.000000,2089,1.0188038094952100,0.5314318237022040
10.000000,0.010000,9789,5.543075041359860,0.5543075041359860
10.000000,0.020000,9038,5.543075041359860,0.5543075041359860
10.000000,0.050000,7154,5.543075041359860,0.5543075041359860
10.000000,0.100000,5617,5.543075041359860,0.5543075041359860
10.000000,0.200000,4335,5.543075041359860,0.5543075041359860
10.000000,0.500000,3578,5.543075041359860,0.5543075041359860
10.000000,1.000000,3192,5.543075041359860,0.5543075041359860
10.000000,2.000000,3051,5.543075041359860,0.5543075041359860
10.000000,5.000000,3516,5.543075041359860,0.5543075041359860
10.000000,10.000000,4914,5.543075041359860,0.5543075041359860
100.000000,0.010000,19203,9.970936489742360,0.09970936489742360
100.000000,0.020000,15425,9.970936489742360,0.09970936489742360
100.000000,0.050000,12029,9.970936489742360,0.09970936489742360
100.000000,0.100000,9665,9.970936489742360,0.09970936489742360
100.000000,0.200000,7894,9.970936489742360,0.09970936489742360
100.000000,0.500000,7041,9.970936489742360,0.09970936489742360
100.000000,1.000000,7182,9.970936489742360,0.09970936489742360
100.000000,2.000000,6745,9.970936489742360,0.09970936489742360
100.000000,5.000000,10281,9.970936489742360,0.09970936489742360
100.000000,10.000000,12995,9.970936489742360,0.09970936489742360
1000.000000,0.010000,27272,10.836572264165100,0.010836572264165100
1000.000000,0.020000,25521,10.836572264165100,0.010836572264165100
1000.000000,0.050000,19548,10.836572264165100,0.010836572264165100
1000.000000,0.100000,17053,10.836572264165100,0.010836572264165100
1000.000000,0.200000,16585,10.836572264165100,0.010836572264165100
1000.000000,0.500000,15930,10.836572264165100,0.010836572264165100
1000.000000,1.000000,18385,10.836572264165100,0.010836572264165100
1000.000000,2.000000,23252,10.836572264165100,0.010836572264165100
1000.000000,5.000000,33054,10.836572264165100,0.010836572264165100
1000.000000,10.000000,38771,10.836572264165100,0.010836572264165100
10000.000000,0.010000,52710,10.931474841265400,0.0010931474841265400
10000.000000,0.020000,49796,10.931474841265400,0.0010931474841265400
